id,jp_addr,tipo,destino,bytes,original,traduccion,notas
0,0x4476,redirect,0x42CD,27,"Alright, back to business.",,1 isla(s) 91 inline
1,0x449B,redirect,0x42EB,48,We're outside the house.  What\ndo you wanna do?,,1 isla(s) 91 inline
2,0x44B4,redirect,0x431E,36,There's no point going back inside.,,
3,0x44D5,redirect,0x4342,51,There's nothing related to the\ninvestigation here.,,1 isla(s) 91 inline
4,0x44F8,redirect,0x4378,118,"C'mon, who says everything needs\nto be about the investigation?{80238057}Besides, I'm sure Anna would love\nto see us again.",,1 isla(s) 91 inline
5,0x4517,redirect,0x43F1,33,I knew that's what you're after.,,1 isla(s) 91 inline
6,0x452C,redirect,0x4415,32,"No, not at all.  Calm down, Ed.",,
7,0x454F,redirect,0x4435,80,If you so much as wink at her I\nswear they'll never find your\nbody.  Even here.,,2 isla(s) 91 inline
8,0x456A,redirect,0x448B,30,You wanna stop off for a bit?,,1 isla(s) 91 inline
9,0x457F,redirect,0x44AC,1,,,
10,0x4586,redirect,0x44AD,1,,,
11,0x45B5,redirect,0x44AE,1,,,
12,0x45CA,redirect,0x44AF,1,,,
13,0x462D,redirect,0x44B0,1,,,
14,0x4660,redirect,0x44B1,1,,,
15,0x467F,redirect,0x44B2,1,,,
16,0x46A4,redirect,0x44B3,1,,,
17,0x46B7,redirect,0x44B7,1,,,
18,0x46D2,redirect,0x44B8,1,,,
19,0x4707,redirect,0x44B9,1,,,
20,0x4742,redirect,0x44BA,1,,,
21,0x4783,redirect,0x44BB,1,,,
22,0x47BE,redirect,0x44BC,1,,,
23,0x47F9,redirect,0x44BD,1,,,
24,0x4810,redirect,0x44BE,1,,,
25,0x4827,redirect,0x44BF,1,,,
26,0x482C,redirect,0x44C0,1,,,
27,0x483F,redirect,0x44C1,5,Move,,
28,0x4844,redirect,0x44C6,10,Go inside,,
29,0x484D,redirect,0x44D0,6,Drive,,1 isla(s) 91 inline
30,0x4856,redirect,0x44D9,77,Where are you in such a hurry to\ngo? I thought we'd get a bite to\neat first.,,2 isla(s) 91 inline
31,0x487B,redirect,0x452F,41,"It's alright, go on in.  It is my\nhouse.",,1 isla(s) 91 inline
32,0x48A2,redirect,0x455B,7,System,,
33,0x48AB,redirect,0x4562,5,Look,,
34,0x48B0,redirect,0x4567,89,I'm surprised how small it looks\noutside.  It's actually pretty big\nwhen you get inside.,,5 isla(s) 91 inline
35,0x48E5,redirect,0x45CF,54,These look like the houses you\nfind in San Francisco.,,
36,0x4916,redirect,0x4605,163,"This is the standard type of house\nfor residential lots here.{80238057}It doesn't have a garden, but we\ndo have two floors.{80238057}I still have 5 years left on my\nmortgage.",,4 isla(s) 91 inline
37,0x49A1,redirect,0x46B4,172,"You can't make the lots that big\nsince the surface of the colony\nisn't completely flat.{80238057}That's why they're like the houses\nyou see in San Francisco, with all\nits hills.",,4 isla(s) 91 inline
38,0x4A0C,redirect,0x476C,68,All I... all I have to show for all\nthese years here is this shack.,,1 isla(s) 91 inline
39,0x4A39,redirect,0x47B3,60,We've got nothing to do here. \nWhy don't we just get going.,,1 isla(s) 91 inline
40,0x4A5E,redirect,0x47F2,41,We should get back to the\ninvestigation.,,2 isla(s) 91 inline
41,0x4A7F,redirect,0x4821,46,"What do you think of the porch?\nNot bad, huh?",,6 isla(s) 91 inline
42,0x4AAC,redirect,0x4861,57,I remodeled the entrance.  I think\nit looks pretty nice.,,1 isla(s) 91 inline
43,0x4AD5,redirect,0x489D,58,That's the front porch.  I\nremodeled the entrance myself.,,3 isla(s) 91 inline
44,0x4B16,redirect,0x48E0,23,You call this a porch?,,1 isla(s) 91 inline
45,0x4B29,redirect,0x48FA,56,"The entrance says a lot about a\nhouse, don't you think?",,1 isla(s) 91 inline
46,0x4B56,redirect,0x4935,42,There's nothing else for us to do\ninside.,,
47,0x4B71,redirect,0x495F,78,Let's get back to the investigation. \nWe haven't got time to waste like\nthis.,,1 isla(s) 91 inline
48,0x4BA0,redirect,0x49B0,28,"Alright, let's head inside.",,
49,0x4BB7,redirect,0x49CC,20,Just one more time.,,
50,0x4BC6,redirect,0x49E0,22,Mind if we go inside?,,
51,0x4BE1,redirect,0x49F6,19,Let's head inside.,,
52,0x4BFC,redirect,0x4A09,28,Sure.  Anna should be home.,,1 isla(s) 91 inline
53,0x4C19,redirect,0x4A28,82,"I don't mind, but we shouldn't stay\ntoo long.  We need to keep going\nwith things.",,3 isla(s) 91 inline
54,0x4C4C,redirect,0x4A83,76,"Alright, but let's keep it short. \nWe don't have all the time in the\nworld.",,1 isla(s) 91 inline
55,0x4C7D,redirect,0x4AD2,28,"What, you forget something?",,1 isla(s) 91 inline
56,0x4C90,redirect,0x4AF1,25,"Again? Alright, alright.",,
57,0x4CAD,redirect,0x4B0A,48,That house belongs to this nice\nelderly couple.,,2 isla(s) 91 inline
58,0x4CDC,redirect,0x4B40,87,The layout of their place is the\nsame as mine.  Their front door is\non the other side.,,2 isla(s) 91 inline
59,0x4D21,redirect,0x4B9D,55,They've helped me out a lot since\nmy wife passed away.,,3 isla(s) 91 inline
60,0x4D60,redirect,0x4BDD,155,"That's the house on the other\nside.  I'd like that one better, to be\nhonest with you.{80238057}Houses here are built as close as\nthey can get 'em to each other.",,5 isla(s) 91 inline
61,0x4DB3,redirect,0x4C87,183,"As you know, Beyond is shaped\nlike a cylinder, so if your house\ndoesn't face the central axis, your\n neighbors will be able to see\ninside since their houses are\npositioned higher up.",,4 isla(s) 91 inline
62,0x4E36,redirect,0x4D4A,102,That house is so close to mine\nthey're almost touching.{80238057}The biggest luxury on the colony\nis space.,,1 isla(s) 91 inline
63,0x4E95,redirect,0x4DB6,51,This must be the house I saw\nfrom the living room.,,
64,0x4EBE,redirect,0x4DE9,70,That belongs to some newlyweds. \nThey moved in about half a year\nago.,,
65,0x4EF5,redirect,0x4E2F,95,Their layout is one grade higher\nthan mine.  The previous owner\nhad a case of Return Syndrome.,,1 isla(s) 91 inline
66,0x4F7A,redirect,0x4E91,94,"They moved here to start a new\nlife in space, but they're having\ntrouble finding stable jobs.",,2 isla(s) 91 inline
67,0x4FD5,redirect,0x4EF8,23,Nice trees you've got.,,
68,0x4FEC,redirect,0x4F0F,88,Those trees are public property. \nThey're part of the CELESS.  They\ndon't belong to me.,,
69,0x5067,redirect,0x4F67,32,"Yeah, I see the control plates.",,1 isla(s) 91 inline
70,0x5088,redirect,0x4F8A,45,Trees on Beyond have control\nplates on them.,,
71,0x50B3,redirect,0x4FB7,38,All plants are monitored by\ncomputer.,,1 isla(s) 91 inline
72,0x50DE,redirect,0x4FE0,63,It's up to us to maintain them. \nOne of our duties as Beyonds.,,1 isla(s) 91 inline
73,0x5135,redirect,0x5022,46,"After all, they produce the oxygen\nwe breath.",,
74,0x5168,redirect,0x5050,32,Is this part of your house too?,,1 isla(s) 91 inline
75,0x517B,redirect,0x5073,21,What about this one?,,
76,0x518C,redirect,0x508B,17,"Same story, huh?",,
77,0x51AD,redirect,0x509C,1,,,
78,0x51C6,redirect,0x509D,1,,,
79,0x51DB,inplace,0x51DB,10,telop.pak,,sin codigo 91: revisar
80,0x51E5,redirect,0x509E,1,,,
81,0x5202,redirect,0x509F,1,,,
82,0x5221,redirect,0x50A0,1,,,
83,0x524A,redirect,0x50A1,1,,,
84,0x5297,redirect,0x50A2,1,,,
