offset,offset_fin,largo_original,encoding,texto,ruido_probable,palabra_reconocible,traduccion
0x94,0xC2,46,ascii,I've got some time till that client\ngets here.,,si,
0xD4,0x102,46,ascii,This place is full of all sorts of\nmementos.  ,,si,
0x128,0x162,58,ascii,"There's some newspaper clippings\nand photos on the walls, ",,si,
0x174,0x19A,38,ascii,and a couple other photos on my\ndesk. ,,si,
0x1AC,0x1D6,42,ascii,They keep the blanks in my\nmemory filled. ,,si,
0x1F92,0x1FA0,14,ascii,2CC3D33D3CD3DE,si,,
0x8DF2,0x8DFC,10,ascii,UTdUVUeFWU,si,,
0xB2D2,0xB2DD,11,ascii,5DDCTSTEDUC,si,,
0x10115,0x10121,12,ascii,"5-""AM""FBD3c+",,si,
0x10F53,0x10F5D,10,ascii,0Tp.RbUD2S,si,,
0x1F043,0x1F04F,12,ascii,EQ2!S42dCRP%,si,,
0x1F772,0x1F77D,11,ascii,R5wfG4UTVUd,si,,
0x22C87,0x22C91,10,ascii,"""4&2""2""12'",si,,
0x26A92,0x26A9D,11,ascii,"QR""1BC2""2B2",si,,
0x2BE02,0x2BE0E,12,ascii,E33CUsQ5EDm4,si,,
0x2DE84,0x2DE91,13,ascii,"DC!""C3BbRCR0,",si,,
0x2E555,0x2E561,12,ascii,"ETECDRFUp2c,",si,,
0x2E887,0x2E891,10,ascii,6SeRBe %'+,,,
0x2EC46,0x2EC51,11,ascii,"o64DQC3tA0,",si,,
0x2F617,0x2F621,10,ascii,"F4EScbQC ,",,,
0x2FA12,0x2FA21,15,ascii,EqQVo04QfCToc7+,si,,
0x33624,0x3362E,10,ascii,E5D1 6To!b,,si,
0x366F2,0x36700,14,ascii,2RC12CDR144UP4,,si,
0x38D24,0x38D2E,10,ascii,5VDUVc5B5R,si,,
0x38EB3,0x38EBE,11,ascii,O/5% 13!0-0,,,
0x3A454,0x3A45E,10,ascii,"4Rl""32""Q!A",si,,
0x3BBE7,0x3BBF1,10,ascii,T2OcS544DK,si,,
0x41DD4,0x41DE1,13,ascii,"5A""TT4F%eRUd&",si,,
0x46870,0x4687E,14,ascii,Ed Brown....  ,,,
0x46890,0x468C6,54,ascii,"The one guy I'd trust with my life,\nmy best friend... ",,si,
0x468D8,0x468EE,22,ascii,and a good partner.   ,,si,
0x4A277,0x4A281,10,ascii,"BSCAc3""""3G",si,,
0x4A3F7,0x4A401,10,ascii,04C1D3!2B',si,,
0x58AB7,0x58AC1,10,ascii,"1""T231""C5)",si,,
0x59123,0x59131,14,ascii,"SSd0""dEE!FS%dI",si,,
0x599C2,0x599CD,11,ascii,&d6u%W362'd,si,,
0x65C32,0x65C3C,10,ascii,"!eF2AL240,",si,,
0x66BB3,0x66BBE,11,ascii,EUQ256cb43%,si,,
0x72880,0x7288E,14,ascii,Lorraine....  ,si,,
0x728A0,0x728AA,10,ascii,My wife.  ,,si,
0x728BC,0x728DA,30,ascii,"No, that was a long time ago. ",,si,
0x728EC,0x72922,54,ascii,She moved to Beyond and\nremarried after my accident.  ,,si,
0x72934,0x72952,30,ascii,She's someone else's wife now.,,,
0x72964,0x72972,14,ascii,She's a Nisei ,,,
0x72974,0x72992,30,ascii," half Japanese,\nhalf American.",,,
0x729A4,0x729D6,50,ascii,There was something kinda\nmysterious about her.   ,,si,
0x74A02,0x74A10,14,ascii,EEUTUdeeUFTeUT,si,,
0x97076,0x97081,11,ascii,? 21PPAEe28,,,
0xA8AB2,0xA8AC0,14,ascii,"MBRDcbR&Db/""/3",si,,
0xBCBD2,0xBCBE0,14,ascii,"4C3232""""SSTTFE",si,,
0xBCCC2,0xBCCD0,14,ascii,"STTDFDC3""CDDEE",si,,
0xBCDB2,0xBCDC0,14,ascii,TFTEDDTTDDEDDd,si,,
0xBCDE2,0xBCDF0,14,ascii,42C33B23343CD3,si,,
0xBDAE2,0xBDAF0,14,ascii,"""2""""""""""""2""1""""""",si,,
0xBDB96,0xBDBA0,10,ascii,"""!""""""""""""""""",si,,
0xBDC25,0xBDC30,11,ascii,"""""""""""""""""!""""",si,,
0xBDC42,0xBDC50,14,ascii,"""""""""""""""""""""""""""""",si,,
0xBDC92,0xBDC9D,11,ascii,"""""""""!""""""2""""",si,,
0xBDCB2,0xBDCC0,14,ascii,"""!""""!2""""""""""""""""",si,,
0xBDCC2,0xBDCD0,14,ascii,"2""""""""""""2""""""""""""",si,,
0xBDCD2,0xBDCE0,14,ascii,"""""2""""""""!!1!1!""",si,,
0xBDCF2,0xBDCFE,12,ascii,"""""""""""!1!""""""""",si,,
0xBDD03,0xBDD0E,11,ascii,"""""""""""!!!""""""",si,,
0xBDE52,0xBDE60,14,ascii,"""!""!""""""""""!""!""!",si,,
0xBDE92,0xBDEA0,14,ascii,"!""!""""!""!""!""!""""",si,,
0xBDEA2,0xBDEAD,11,ascii,"!""!""!""""!""!""",si,,
0xBDFD6,0xBDFE0,10,ascii,"!!""""""""""""""""",si,,
0xBDFF2,0xBDFFF,13,ascii,"""""""""""""""""""""""""""",si,,
0xBE022,0xBE02F,13,ascii,"""""""""""""""""""""""""""",si,,
0xBE362,0xBE36E,12,ascii,"!!!!!""!!!!!!",si,,
0xBFA78,0xBFA86,14,ascii,Wrong number. ,,,
0xBFA98,0xBFAB6,30,ascii,Thank you for wasting my time.,,si,
0xBFAC8,0xBFB06,62,ascii,"Hello, Mr. Ingram, this is the\nDepartment of Water and Power. ",,si,
0xBFB18,0xBFB4E,54,ascii,This is your final notice regarding\nyour water bill.  ,,si,
0xBFB60,0xBFB96,54,ascii,Maybe if you gave me something I\ncould actually drink.,,si,
0xBFBA8,0xBFBBE,22,ascii,"Jon, where you been?  ",,si,
0xBFBD0,0xBFC16,70,ascii,"I feel like crap too, you know. \nThat's why I'm in a bar.  Call me!   ",,si,
0xBFC28,0xBFC36,14,ascii,"Yeah, yeah.   ",,,
0xBFC48,0xBFC5A,18,ascii,Maybe next time.  ,,,
0xBFC6C,0xBFC8A,30,ascii,You piece of shit detective!  ,,si,
0xBFC9C,0xBFCBA,30,ascii,"Remember me, you little punk? ",,si,
0xBFCCC,0xBFCDF,19,ascii,I got news for you ,,si,
0xBFCE1,0xBFD06,37,ascii, this ain't\nover! Watch your back!   ,,si,
0xBFD18,0xBFD2E,22,ascii,That wasn't very nice.,,si,
0xBFD40,0xBFD62,34,ascii,"Hi, Tom Olsen, we talked before.  ",,si,
0xBFD74,0xBFDB2,62,ascii,"Listen, I'm not going to be needing\nyour services after all.  ",,si,
0xBFDC4,0xBFDD2,14,ascii,Thanks anyway.,,,
0xBFDE4,0xBFDFA,22,ascii,There goes another.   ,,si,
0xBFE0C,0xBFE56,74,ascii,"The signboard! The\nSIGNBOARD! It's got an extra pair\nof legs, god dammit! ",,si,
0xBFE68,0xBFE96,46,ascii,This is why some people shouldn't\nhave kids.  ,,si,
0xBFEA8,0xBFEBA,18,ascii,Still no offers.  ,,si,
