id,jp_addr,tipo,destino,bytes,original,traduccion,notas
0,0x3174,redirect,0x3267,11,Subtitles{0D},Subtítulo,1 isla(s) 91 inline
1,0x3179,redirect,0x3275,4,On{0D},,1 isla(s) 91 inline
2,0x317E,redirect,0x327C,5,Off{0D},,
3,0x3183,redirect,0x3281,6,Ruby{0D},,1 isla(s) 91 inline
4,0x3188,redirect,0x328A,10,Captions{0D},Subs (CC),1 isla(s) 91 inline,
5,0x3191,redirect,0x3297,4,On{0D},,
6,0x319C,redirect,0x329B,5,Off{0D},,1 isla(s) 91 inline
7,0x31A3,redirect,0x32A3,14,Cursor Speed{0D},Rapidez Cursor,1 isla(s) 91 inline,
8,0x31B0,redirect,0x32B4,9,Slowest{0D},Tortuga,1 isla(s) 91 inline,
9,0x31B5,redirect,0x32C0,6,Slow{0D},Lento,1 isla(s) 91 inline,
10,0x31BE,redirect,0x32C9,8,Medium{0D},Medio,1 isla(s) 91 inline
11,0x31C3,redirect,0x32D4,6,Fast{0D},Rápido,1 isla(s) 91 inline
12,0x31CC,redirect,0x32DD,9,Fastest{0D},Vuela,1 isla(s) 91 inline
13,0x31D1,redirect,0x32E9,12,Text Lines{0D},Texto,2 isla(s) 91 inline
14,0x31DA,redirect,0x32FB,3,2{0D},2,
15,0x31DF,redirect,0x32FE,3,3{0D},,
16,0x31E4,redirect,0x3301,10,Controls{0D},Controles,2 isla(s) 91 inline
17,0x31EF,redirect,0x3311,9,Default{0D},Por Def.,
18,0x31FC,redirect,0x331A,10,Southpaw{0D},Zurdo,1 isla(s) 91 inline
19,0x3209,redirect,0x3327,12,One-handed{0D},Una Mano,2 isla(s) 91 inline
20,0x3214,redirect,0x3339,4,CD{0D},,
21,0x3219,redirect,0x3340,7,1{96}{87}{96}{DA}{0D},,
22,0x3220,redirect,0x3347,7,2{96}{87}{96}{DA}{0D},,
23,0x3227,redirect,0x334E,12,{83}G{83}{93}{83}g{83}{8A}{D0}{06}{0D},,1 isla(s) 91 inline
24,0x3232,redirect,0x3360,8,{83}t{83}{89}{83}O{0D},,1 isla(s) 91 inline
25,0x3239,redirect,0x336B,6,{92}n{8B}{85}{0D},,1 isla(s) 91 inline
