id,jp_addr,tipo,destino,bytes,original,traduccion,notas
0,0x99E,redirect,0x9A1,148,   Lorraine is murdered by an unknown\n assailant after requesting Jonathan's help. \n The perpetrator is a mysterious individual\n with white blood.{0D},,1 isla(s) 91 inline
1,0xA05,redirect,0xA38,103,"   Jonathan returns to Beyond, taking the\n four capsules and the leaf he got from\n Lorraine with him.{0D}",,1 isla(s) 91 inline
2,0xA6E,redirect,0xAA2,63,   He first sets out to get Ed's help.  Ed\n should be at BCP.{0D},,1 isla(s) 91 inline
3,0xAAB,redirect,0xAE4,106,"   Jonathan heads back to Beyond, taking\n the four capsules and the leaf he got from\n Lorraine with him.{0D}",,1 isla(s) 91 inline
4,0xB12,redirect,0xB54,59,   He gathers information on the plane until\n it arrives.{0D},,
5,0xB51,redirect,0xB8F,139,"   Jonathan's ex-wife, Lorraine, says her\n husband, Kenzo Hojo, has disappeared. \n The only clues are four capsules and a leaf\n fragment.{0D}",,1 isla(s) 91 inline
6,0xBDC,redirect,0xC1D,133,"   However, Lorraine is critically injured by\n an unknown assailant.  The perpetrator is\n a mysterious individual with white blood.{0D}",,2 isla(s) 91 inline
7,0xC35,redirect,0xCA8,110,"   He manages to elude Jonathan and\n escapes on a motorcycle.  Frustrated,\n Jonathan heads back to Lorraine.{0D}",,1 isla(s) 91 inline
8,0xC8C,redirect,0xD19,85,"   After engaging Jonathan in a shootout\n again, he escapes further down the alley.{0D}",,1 isla(s) 91 inline
9,0xCDD,redirect,0xD71,82,"   Jonathan's ex-wife, Lorraine, says her\n husband, Kenzo Hojo, has disappeared.{0D}",,1 isla(s) 91 inline
10,0xD32,redirect,0xDC6,77,"   The only clues are four capsules, a leaf\n fragment and the word ""Plato"".{0D}",,1 isla(s) 91 inline
11,0xD8D,redirect,0xE16,167,"   However, Lorraine is critically injured by\n an unknown assailant.  Jonathan becomes\n involved in a shootout with the perpetrator\n before he escapes down an alley.{0D}",,1 isla(s) 91 inline
12,0xE02,redirect,0xEC0,140,"   Jonathan Ingram {D0}{06} after losing\n everything in an EMPS accident 30 years\n ago, he now struggles to survive as a\n private eye in Old LA.{0D}",,2 isla(s) 91 inline
13,0xE91,redirect,0xF52,118,"   One day Jonathan is visited by his\n ex-wife, Lorraine, who wants his help\n with something related to her husband.{0D}",,2 isla(s) 91 inline
14,0xEE0,redirect,0xFCE,52,   He reluctantly listens to what she has to\n say.{0D},,
15,0xF29,redirect,0x1002,78,"   Jonathan Ingram {D0}{06} 30 years ago, he\n lost everything in an EMPS accident.{0D}",,2 isla(s) 91 inline
16,0xF6E,redirect,0x1056,111,"   One day Jonathan is visited by his\n ex-wife, Lorraine, who says her husband,\n Kenzo Hojo, has disappeared.{0D}",,1 isla(s) 91 inline
17,0xFBD,redirect,0x10C8,90,   The only clues are four capsules and a\n leaf fragment.  All signs point to foul play.{0D},,
18,0x1014,redirect,0x1122,49,   He continues to listen to Lorraine's\n story.{0D},,1 isla(s) 91 inline
19,0x103B,redirect,0x1156,98,"   Former Policenaut Jonathan searches\n for Kenzo Hojo at the request of his\n ex-wife, Lorraine.{0D}",,1 isla(s) 91 inline
20,0x108A,redirect,0x11BB,102,"   Jonathan and Ed visit the Tokugawa\n Building, where they get in a heated\n argument with Tokugawa.{0D}",,1 isla(s) 91 inline
21,0x1129,redirect,0x1224,121,"   Although it appears as if they failed to\n obtain anything, Jonathan believes their\n actions will provoke a response.{0D}",,1 isla(s) 91 inline
22,0x1182,redirect,0x12A0,58,   Jonathan begins his search for Kenzo\n Hojo on Beyond.{0D},,1 isla(s) 91 inline
23,0x11D1,redirect,0x12DD,129,"   He and Ed make their way to the\n Tokugawa Building, where Hojo met with\n President Tokugawa and was never heard\n from again.{0D}",,1 isla(s) 91 inline
24,0x1244,redirect,0x1361,115,   Tokugawa is attending a launch party for\n a new DDS product in the building's\n Garden.  They talk to Tokugawa.{0D},,1 isla(s) 91 inline
25,0x12B9,redirect,0x13D7,128,   Tokugawa is apparently attending a\n launch party for a new DDS product in the\n building's Garden.  Will he meet with\n them?{0D},,2 isla(s) 91 inline
26,0x1342,redirect,0x145D,77,"   Jonathan's ex-wife, Lorraine, has asked\n him to look for her Kenzo Hojo.{0D}",,1 isla(s) 91 inline
27,0x136F,redirect,0x14AD,167,"   Teaming up with Ed, they visit Tokugawa\n Pharmaceuticals, Hojo's place of\n employment.  It seems he was involved in\n the development of a DDS capsule called\n K-9.{0D}",,1 isla(s) 91 inline
28,0x13F8,redirect,0x1557,96,"   Taking note of the whiteboard in the\n DDS Room, they continue their\n investigation at BCCH.{0D}",,1 isla(s) 91 inline
29,0x1445,redirect,0x15BA,92,"   They head to Hojo's house for more\n information.  There they meet his\n daughter, Karen.{0D}",,1 isla(s) 91 inline
30,0x1492,redirect,0x1619,113,"   They head to the Tokugawa Building,\n where Hojo met with President Tokugawa\n and was never heard from again.{0D}",,2 isla(s) 91 inline
31,0x14F5,redirect,0x1690,165,"   Jonathan's ex-wife, Lorraine, requests\n he look for her husband.  Jonathan\n returns to Beyond, taking the four\n capsules and the leaf he got from her with\n him.{0D}",,1 isla(s) 91 inline
32,0x157E,redirect,0x1738,142,"   According to BCCH's pharmacist, Ishida,\n on the day Hojo disappeared, he went to\n the Tokugawa Building to meet with\n President Tokugawa.{0D}",,1 isla(s) 91 inline
