id,jp_addr,tipo,destino,bytes,original,traduccion,notas
0,0x4679,redirect,0x4391,29,We're outside Hojo's house.{0D},,
1,0x468C,redirect,0x43AE,32,We've arrived at Hojo's house.{0D},,1 isla(s) 91 inline
2,0x469F,redirect,0x43D1,29,We're outside Hojo's place.{0D},,1 isla(s) 91 inline
3,0x46B6,redirect,0x43F1,24,We're at Hojo's house.{0D},,
4,0x46D1,redirect,0x4409,59,Let's go look for the CD the\ninformant was talking about.{0D},,3 isla(s) 91 inline
5,0x46FE,redirect,0x444D,2,{0D},,
6,0x4709,redirect,0x444F,2,{0D},,
7,0x472A,redirect,0x4451,2,{0D},,
8,0x474B,redirect,0x4453,2,{0D},,
9,0x475A,redirect,0x4455,2,{0D},,
10,0x4769,redirect,0x4457,12,You ready?{0D},,
11,0x477C,redirect,0x4463,25,I'll ring the doorbell.{0D},,1 isla(s) 91 inline
12,0x4791,redirect,0x447F,2,{0D},,
13,0x47A6,redirect,0x4481,2,{0D},,
14,0x47E9,redirect,0x4483,2,{0D},,
15,0x480E,redirect,0x4485,2,{0D},,
16,0x484D,redirect,0x4487,2,{0D},,
17,0x485E,redirect,0x4489,2,{0D},,
18,0x486F,redirect,0x448E,2,{0D},,
19,0x4886,redirect,0x4490,2,{0D},,
20,0x489F,redirect,0x4492,2,{0D},,
21,0x48AA,redirect,0x4494,2,{0D},,
22,0x48DB,redirect,0x4496,2,{0D},,
23,0x48EC,redirect,0x4498,2,{0D},,
24,0x491B,redirect,0x449A,2,{0D},,
25,0x494C,redirect,0x449C,2,{0D},,
26,0x4969,redirect,0x449E,2,{0D},,
27,0x49D4,redirect,0x44A3,2,{0D},,
28,0x4A0B,redirect,0x44A5,2,{0D},,
29,0x4A24,redirect,0x44A7,2,{0D},,
30,0x4A6F,redirect,0x44A9,5,...{0D},,
31,0x4A76,redirect,0x44AE,2,{0D},,
32,0x4A9D,redirect,0x44B0,2,{0D},,
33,0x4AE0,redirect,0x44B2,2,{0D},,
34,0x4AEF,redirect,0x44B4,2,{0D},,
35,0x4B1C,redirect,0x44B6,2,{0D},,
