id,jp_addr,tipo,destino,bytes,original,traduccion,notas
0,0x2229,redirect,0x21F5,29,We're outside the building.{0D},,
1,0x223A,redirect,0x2212,33,We're at the Tokugawa Building.{0D},,1 isla(s) 91 inline
2,0x224F,redirect,0x2236,45,We have to find some way to get\nto Sadaoki.{0D},,2 isla(s) 91 inline
3,0x2275,redirect,0x2269,54,I'm not sure I wanna go back in\nafter what happened.{0D},,1 isla(s) 91 inline
4,0x22AA,redirect,0x22A2,70,I don't think we should go back in.\nWe've probably been blacklisted.{0D},,1 isla(s) 91 inline
5,0x22FF,redirect,0x22EB,29,Shall we try going to BCCH?{0D},,1 isla(s) 91 inline
6,0x2322,redirect,0x230B,45,We'll probably find more at BCCH\nthan here.{0D},,1 isla(s) 91 inline
7,0x2353,redirect,0x233B,37,Shall we try going to Hojo's\nhouse?{0D},,1 isla(s) 91 inline
8,0x2374,redirect,0x2363,57,"You wanna try somewhere else?\nLike Hojo's house, maybe?{0D}",,2 isla(s) 91 inline
9,0x2399,redirect,0x23A2,2,{0D},,
10,0x23BA,redirect,0x23A4,6,Move{0D},,
11,0x23BF,redirect,0x23AA,11,Go inside{0D},,
12,0x23C8,redirect,0x23B5,7,Drive{0D},,1 isla(s) 91 inline
13,0x23D1,redirect,0x23C2,8,System{0D},,1 isla(s) 91 inline
14,0x23DA,redirect,0x23CD,6,Look{0D},,1 isla(s) 91 inline
15,0x23DF,redirect,0x23D6,64,"I know you're in there, Sadaoki!\nI'm coming for you, fuckface!{0D}",,3 isla(s) 91 inline
16,0x2412,redirect,0x241F,33,This is the heart of the beast.{0D},,1 isla(s) 91 inline
17,0x243F,redirect,0x2443,32,"Pretty overwhelming, isn't it?{0D}",,1 isla(s) 91 inline
18,0x245A,redirect,0x2466,91,"As you can see, it's more or less\nbuilt into the colony.  A pillar in\nmore ways than one.{0D}",,2 isla(s) 91 inline
19,0x24A7,redirect,0x24C7,66,Chris was right.{80238057}There's no denying it's an\nincredible place.{0D},,1 isla(s) 91 inline
20,0x24BE,redirect,0x250C,35,It's obvious why it's so popular.{0D},,1 isla(s) 91 inline
21,0x24F5,redirect,0x2532,45,"Prop's a good name for it, don't\nyou think?{0D}",,1 isla(s) 91 inline
22,0x252E,redirect,0x2562,54,I can use that elevator to move\naround the building.{0D},,1 isla(s) 91 inline
23,0x2555,redirect,0x259B,38,It looks like the elevator's moving.{0D},,1 isla(s) 91 inline
24,0x2576,redirect,0x25C4,40,That's the high-speed linear\nelevator.{0D},,
25,0x25B3,redirect,0x25EF,81,"It's a glass elevator, so you'd be\nable to see across the colony from\nup there.{0D}",,1 isla(s) 91 inline
26,0x25EC,redirect,0x2643,70,The Garden's up there.  That's\nprobably where Sadaoki and Gates\nare.{0D},,2 isla(s) 91 inline
27,0x262D,redirect,0x268F,33,I have to get up there somehow.{0D},,
28,0x2658,redirect,0x26B0,73,That's the colony's central area. \nIt's a little hard to see from here.{0D},,2 isla(s) 91 inline
29,0x2685,redirect,0x26FF,90,"If you look straight up, it feels like\nyou're looking down from the top\nof a skyscraper.{0D}",,3 isla(s) 91 inline
30,0x26C2,redirect,0x2762,51,People with acrophobia don't\nalways like it here.{0D},,1 isla(s) 91 inline
31,0x26E9,redirect,0x2798,37,I know I ain't dying for this name.{0D},,1 isla(s) 91 inline
32,0x271E,redirect,0x27C0,33,There's the Tokugawa lettering.{0D},,
33,0x2737,redirect,0x27E1,43,Nothing disgusts me more than\nthat thing.{0D},,1 isla(s) 91 inline
34,0x2752,redirect,0x280F,87,"That's the Tokugawa logo. \nThey've borrowed the mitsuba aoi,\nor the three hollyhocks.{0D}",,1 isla(s) 91 inline
35,0x2783,redirect,0x2869,39,There's a helluva lot riding on\nthis.{0D},,1 isla(s) 91 inline
36,0x27B4,redirect,0x2893,47,Most of the corruption on Beyond\nspawns here.{0D},,1 isla(s) 91 inline
37,0x27F7,redirect,0x28C5,85,Beyond's the only place in the\nworld where you look up and see\nsomething like this.{0D},,1 isla(s) 91 inline
38,0x283A,redirect,0x291D,109,You couldn't blame someone for\nthinking the Prop's structurally\nnecessary.{80238057}Ishida was right on the mark.{0D},,3 isla(s) 91 inline
39,0x287D,redirect,0x2996,54,It is like standing at the doorway\nto another world.{0D},,1 isla(s) 91 inline
40,0x28B0,redirect,0x29CF,2,{0D},,
41,0x2911,redirect,0x29D1,20,Let's head inside.{0D},,
42,0x2932,redirect,0x29E8,20,Let's head inside.{0D},,
43,0x2945,redirect,0x29FC,38,Hopefully it'll go better this time.{0D},,1 isla(s) 91 inline
44,0x296C,redirect,0x2A25,35,We should leave this for a while.{0D},,3 isla(s) 91 inline
45,0x2993,redirect,0x2A51,46,Things will only get worse if we go\nback in.{0D},,1 isla(s) 91 inline
46,0x29BE,redirect,0x2A82,52,Let's go somewhere else and try\ncoming back later.{0D},,2 isla(s) 91 inline
47,0x29E5,redirect,0x2ABC,47,They have to pay for everything\nthey've done.{0D},,4 isla(s) 91 inline
48,0x2A00,redirect,0x2AF7,65,I'll tear down this goddamned pile\nof shit myself if I have to.{0D},,2 isla(s) 91 inline
49,0x2A29,redirect,0x2B3E,51,"I'm not going down without a\nfight, you bastards!{0D}",,
50,0x2A46,redirect,0x2B71,6,Move{0D},,
51,0x2A4B,redirect,0x2B77,7,Leave{0D},,
52,0x2A54,redirect,0x2B7E,46,I thought we were gonna go talk\nto Tokugawa?{0D},,1 isla(s) 91 inline
53,0x2A83,redirect,0x2BAF,47,We can't leave till we've talked to\nTokugawa.{0D},,1 isla(s) 91 inline
54,0x2AAA,redirect,0x2BE1,38,Let's try not to get the boot again.{0D},,1 isla(s) 91 inline
55,0x2ACB,redirect,0x2C0D,12,Front Desk{0D},,
56,0x2AD6,redirect,0x2C19,8,System{0D},,
57,0x2ADF,redirect,0x2C21,6,Look{0D},,
58,0x2AE4,redirect,0x2C27,44,That elevator goes straight to the\nGarden.{0D},,2 isla(s) 91 inline
59,0x2B07,redirect,0x2C59,26,I can use this to go up.{0D},,1 isla(s) 91 inline
60,0x2B32,redirect,0x2C76,96,It goes directly to the center of\nbuilding.  Apparently a one-way\ntrip takes about 10 minutes.{0D},,1 isla(s) 91 inline
61,0x2B7F,redirect,0x2CD9,47,I heard they've got 30 elevators\nhere in all.{0D},,2 isla(s) 91 inline
62,0x2BB2,redirect,0x2D0E,87,It's a high-speed linear elevator. \nYou could call it one of the\nbuilding's arteries.{0D},,3 isla(s) 91 inline
63,0x2BE7,redirect,0x2D6E,40,"Same as the one we saw at BCCH,\nright?{0D}",,1 isla(s) 91 inline
64,0x2C0A,redirect,0x2D99,40,Doesn't look like there's anyone\nelse.{0D},,2 isla(s) 91 inline
65,0x2C2D,redirect,0x2DCA,42,I don't see anyone else hiding\nanywhere.{0D},,1 isla(s) 91 inline
66,0x2C4E,redirect,0x2DF7,27,What have we got here....{0D},,1 isla(s) 91 inline
67,0x2C67,redirect,0x2E15,110,"This is the atrium, one of the main\nfeatures of the building.{80238057}It goes straight from one end to\nthe other.{0D}",,1 isla(s) 91 inline
68,0x2CC6,redirect,0x2E86,32,Imagine falling from up there.{0D},,
69,0x2CDF,redirect,0x2EA6,101,"You move into weightlessness the\ncloser you get to the center of the\ncolony, not the opposite side.{0D}",,1 isla(s) 91 inline
70,0x2D08,redirect,0x2F0E,58,It's 3 kilometers from here to the\ncenter of the colony.{0D},,1 isla(s) 91 inline
71,0x2D2F,redirect,0x2F4B,35,I can't see the Garden from here.{0D},,1 isla(s) 91 inline
72,0x2D52,redirect,0x2F71,30,It's that cute receptionist.{0D},,1 isla(s) 91 inline
73,0x2D67,redirect,0x2F92,62,There's a girl sitting there.  She\nmust be the receptionist.{0D},,2 isla(s) 91 inline
74,0x2D84,redirect,0x2FD6,30,Why don't we go talk to her.{0D},,
75,0x2D9F,redirect,0x2FF4,10,Approach{0D},,
76,0x2DA6,redirect,0x2FFE,27,Let's put on a big smile.{0D},,1 isla(s) 91 inline
77,0x2DC7,redirect,0x301C,40,It's an ad for Tokugawa's space\nhotel.{0D},,1 isla(s) 91 inline
78,0x2DE6,redirect,0x3047,44,That's about to undergo a change\nof owner.{0D},,2 isla(s) 91 inline
79,0x2E0B,redirect,0x3079,109,"It's an ad for Hotel California,\nTokugawa's space hotel.{80238057}It's the world's first hotel in low\nHome orbit.{0D}",,3 isla(s) 91 inline
80,0x2E60,redirect,0x30EF,236,"It has 64 rooms, all with a capsule\nbed, a bath, toilet and sink.{80238057}There's a doctor on hand to treat\nSAS, and it makes three rotations\na minute, creating artificial gravity\n of 0.7 G.{80238057}A 3-day, 2-night stay costs five\nmillion yen.{0D}",,5 isla(s) 91 inline
81,0x2EED,redirect,0x31EA,70,This is the kinda thing we could\nonly dream about when we were\nkids.{0D},,2 isla(s) 91 inline
82,0x2F20,redirect,0x3236,40,Going to space is as easy as this\nnow.{0D},,1 isla(s) 91 inline
83,0x2F4D,redirect,0x3261,70,"The hotel's a torus type.  Or I\nguess you'd say ""Tokugawa\ntype"" now.{0D}",,2 isla(s) 91 inline
84,0x2F86,redirect,0x32AD,46,I just about throw up every time I\nsee this.{0D},,
85,0x2FAB,redirect,0x32DB,34,There's the Tokugawa logo again.{0D},,1 isla(s) 91 inline
86,0x2FD2,redirect,0x3300,39,You starting to like it or\nsomething?{0D},,2 isla(s) 91 inline
87,0x3005,redirect,0x332D,2,{0D},,
88,0x302C,redirect,0x332F,2,{0D},,
89,0x3051,redirect,0x3331,2,{0D},,
90,0x306C,redirect,0x3333,2,{0D},,
91,0x309D,redirect,0x3335,2,{0D},,
92,0x30BC,redirect,0x3337,2,{0D},,
93,0x30D7,redirect,0x3339,2,{0D},,
94,0x310E,redirect,0x333B,2,{0D},,
95,0x312B,redirect,0x333D,2,{0D},,
96,0x3154,redirect,0x333F,70,It's his Moon base.  Thinks he can\nbuild his shit wherever he wants.{0D},,1 isla(s) 91 inline
97,0x3197,redirect,0x3388,44,It's a miniature of Tokugawa's\nMoon Plant.{0D},,1 isla(s) 91 inline
98,0x31C2,redirect,0x33B7,68,It was the first permanent Moon\nbase established by a corporation.{0D},,1 isla(s) 91 inline
99,0x31EB,redirect,0x33FE,35,That girl really knows her stuff.{0D},,1 isla(s) 91 inline
100,0x3210,redirect,0x3424,65,"You're gonna need a lot more than\nthat to protect you, Sadaoki.{0D}",,1 isla(s) 91 inline
101,0x3247,redirect,0x3468,48,It doesn't look like anyone's hiding\nin there.{0D},,1 isla(s) 91 inline
102,0x326A,redirect,0x349B,84,"That's a kabuto, a traditional\nJapanese samurai helmet. \nTokugawa does this a lot.{0D}",,2 isla(s) 91 inline
103,0x3297,redirect,0x34F5,82,It's a kabuto.  Tokugawa's known\nfor continually recalling Japan's\nwartime past.{0D},,1 isla(s) 91 inline
104,0x32DE,redirect,0x354A,36,"It's a katana.  What is he, a Yak?{0D}",,1 isla(s) 91 inline
105,0x3303,redirect,0x3571,43,He won't be taking this where\nhe's going.{0D},,1 isla(s) 91 inline
106,0x3324,redirect,0x359F,113,"Looks like a Japanese katana.{80238057}Probably one of those famous\nones, like a Muramasa or\nwhatever they're called.{0D}",,2 isla(s) 91 inline
107,0x3373,redirect,0x3616,49,A sword isn't out of place in a\nTokugawa lobby.{0D},,
108,0x33A6,redirect,0x3647,54,Good god.  What's he trying to do\nwith this stuff?  {0D},,1 isla(s) 91 inline
109,0x33CD,redirect,0x3680,54,"Well, ""Live as in battle.""  That's a\nJapanese maxim.{0D}",,
110,0x3404,redirect,0x36B6,47,Time for a new chapter in the\nfamily history.{0D},,1 isla(s) 91 inline
111,0x343B,redirect,0x36E8,89,These are 180-degree\nholographic portraits of the\n\n former heads of the Tokugawa\nGroup.{0D},,2 isla(s) 91 inline
112,0x3472,redirect,0x3747,91,"They're holograms of Zenzo and\nTadashi Tokugawa, the first and\nsecond heads of the Group.{0D}",,2 isla(s) 91 inline
113,0x349F,redirect,0x37A8,50,Today's the end of all your bullshit\npropaganda.{0D},,1 isla(s) 91 inline
114,0x34C8,redirect,0x37DD,65,It's a multivision showing media\nrelated to the Tokugawa Group.{0D},,1 isla(s) 91 inline
115,0x3513,redirect,0x3821,29,That's a jumbo multivision.{0D},,1 isla(s) 91 inline
116,0x3566,redirect,0x3841,44,That's the terminal the\nreceptionist uses.{0D},,1 isla(s) 91 inline
117,0x3591,redirect,0x3870,48,That's the terminal the\nreceptionist must use.{0D},,1 isla(s) 91 inline
118,0x35BC,redirect,0x38A6,75,She could pull up all sorts of\ninformation on the building in an\ninstant.{0D},,2 isla(s) 91 inline
119,0x35EF,redirect,0x38F7,164,"That's a byobu, a Japanese folding\nscreen.  They tend to have\npictures or writing on them.{80238057}I guess it would be a gilded\nbyobu, since it's covered in gold\nleaf.{0D}",,5 isla(s) 91 inline
120,0x366A,redirect,0x39AA,71,Most Japanese-run buildings like\nthis have at least one byobu\ninside.{0D},,1 isla(s) 91 inline
121,0x36BB,redirect,0x39F4,98,It's a list of some of Tokugawa's\ncompanies.{80238057}They're all well known and\nrespected operations.{0D},,4 isla(s) 91 inline
122,0x3700,redirect,0x3A62,111,It's a list of some of the major\ncompanies in the Tokugawa\nGroup.{80238057}The receptionist said there's 138\ntotal.{0D},,3 isla(s) 91 inline
123,0x373D,redirect,0x3ADA,38,There's something on the wall\nthere.{0D},,1 isla(s) 91 inline
124,0x375E,redirect,0x3B03,39,Maybe information about the\nbuilding?{0D},,2 isla(s) 91 inline
125,0x3791,redirect,0x3B30,67,I can't tell from here either.  We'll\nneed to take a closer look.{0D},,2 isla(s) 91 inline
126,0x37D0,redirect,0x3B79,68,There's the front desk.  Why don't\nwe go talk to the receptionist.{0D},,4 isla(s) 91 inline
