id,jp_addr,tipo,destino,bytes,original,traduccion,notas
0,0x2C4B,redirect,0x2BF4,30,She's busy with that doctor.{0D},,1 isla(s) 91 inline
1,0x2C68,redirect,0x2C15,48,She's got one of those propulsion\ndevices too.{0D},,5 isla(s) 91 inline
2,0x2C9F,redirect,0x2C54,41,They don't have a very wide\nvocabulary.{0D},,1 isla(s) 91 inline
3,0x2CBA,redirect,0x2C80,51,"Yeah, they're just rattling off the\nsame phrases.{0D}",,1 isla(s) 91 inline
4,0x2CDF,redirect,0x2CB6,28,Not a very friendly bunch.{0D},,1 isla(s) 91 inline
5,0x2CF6,redirect,0x2CD5,86,Rebirthers tend to be arrogant. \nPlus we probably look like a\ncouple of cops anyway.{0D},,2 isla(s) 91 inline
6,0x2D37,redirect,0x2D31,57,"Sorry, but we've been told not to\ntalk to you.  See ya.{0D}",,1 isla(s) 91 inline
7,0x2D8E,redirect,0x2D6D,46,I'm busy right now.  If you'll\nexcuse me....{0D},,1 isla(s) 91 inline
8,0x2DB9,redirect,0x2D9E,30,We're not some escort trash!{0D},,1 isla(s) 91 inline
9,0x2DEA,redirect,0x2DBF,16,Some attitude.{0D},,
10,0x2DFF,redirect,0x2DCF,36,I'm guessing they heard about\nyou.{0D},,1 isla(s) 91 inline
11,0x2E2C,redirect,0x2DF6,65,Everyone seems to know.  I\nsuppose Tokugawa might've heard\ntoo.{0D},,2 isla(s) 91 inline
12,0x2E63,redirect,0x2E3D,34,"You and I will hang later, baby.{0D}",,
13,0x2E96,redirect,0x2E5F,12,Hear that?{0D},,1 isla(s) 91 inline
14,0x2EA7,redirect,0x2E6E,51,I wouldn't get too excited.  Typical\nlip service.{0D},,1 isla(s) 91 inline
15,0x2ED6,redirect,0x2EA4,22,Kick back and relax!{0D},,1 isla(s) 91 inline
16,0x2EF9,redirect,0x2EBD,18,Enjoy the party!{0D},,
17,0x2F1E,redirect,0x2ECF,71,"If you want something to drink,\nyou'll have to ask one of the\nothers.{0D}",,2 isla(s) 91 inline
18,0x2F45,redirect,0x2F1C,55,Too bad they're not more like the\ngirls we talked to.{0D},,2 isla(s) 91 inline
19,0x2F66,redirect,0x2F59,26,What's that balloon for?{0D},,1 isla(s) 91 inline
20,0x2F79,redirect,0x2F76,34,Maybe a model of Hojo's new\nDDS?{0D},,1 isla(s) 91 inline
21,0x2FA6,redirect,0x2F9B,60,Looks like a balloon designed to\nshow off the new capsule.{0D},,2 isla(s) 91 inline
