id,jp_addr,tipo,destino,bytes,original,traduccion,notas
0,0xBF9,redirect,0xB80,13,Go upstairs{0D},,1 isla(s) 91 inline
1,0xC04,redirect,0xB90,6,Look{0D},,
2,0xC09,redirect,0xB96,77,There's communications cables\nand other wires running all over\nthe ceiling.{0D},,2 isla(s) 91 inline; cadena 92: 2 fragmentos unidos
3,0xC4E,redirect,0xBF8,51,"Not surprising, given the network\nthey have here.{0D}",,3 isla(s) 91 inline
4,0xC85,redirect,0xC34,71,There's a few microgravity air\nconditioners and sprinklers\ninstalled.{0D},,1 isla(s) 91 inline
5,0xCC0,redirect,0xC7E,81,They say this place has been built\nto withstand any disaster.  That\ninclude me?{0D},,2 isla(s) 91 inline
6,0xCFB,redirect,0xCD5,52,They've probably cut them off so I\ncan't use them.{0D},,1 isla(s) 91 inline
7,0xD28,redirect,0xD0C,54,Normally you'd see every inch of\nthe floor on these.{0D},,1 isla(s) 91 inline
8,0xD61,redirect,0xD45,70,The monitors aren't working.  No\npoint wasting anymore time on\nthem.{0D},,2 isla(s) 91 inline
9,0xD8C,redirect,0xD91,82,These are the security monitors\nfor the garage.{80238057}They're not showing anything.{0D},,2 isla(s) 91 inline
10,0xDC1,redirect,0xDE9,36,There are monitors over there\ntoo.{0D},,1 isla(s) 91 inline
11,0xDE0,redirect,0xE10,43,It doesn't look like he's hiding in\nhere.{0D},,1 isla(s) 91 inline
12,0xE0B,redirect,0xE3E,23,He's not inside here.{0D},,1 isla(s) 91 inline
13,0xE22,redirect,0xE58,41,His blood trail clearly leads\nupstairs.{0D},,1 isla(s) 91 inline
14,0xE4D,redirect,0xE84,36,It's a small car.  No one's in it.{0D},,1 isla(s) 91 inline
15,0xE74,redirect,0xEAB,49,It's a van.  Doesn't look like\nanyone's inside.{0D},,2 isla(s) 91 inline
16,0xE9F,redirect,0xEE2,54,"This is the 20th floor, just like the\nelevator said.{0D}",,1 isla(s) 91 inline
17,0xEC4,redirect,0xF1B,25,This is the 20th floor.{0D},,1 isla(s) 91 inline
18,0xEDB,redirect,0xF37,28,Twenty more to the Garden.{0D},,
19,0xEF6,redirect,0xF53,68,The Garden's on the 40th floor.  I\nhaven't got time to waste here.{0D},,1 isla(s) 91 inline
20,0xF2B,redirect,0xF9A,63,The cars are secured to the\nground with magnets in the floor.{0D},,2 isla(s) 91 inline
21,0xF7C,redirect,0xFDF,38,I don't see his blood anywhere\nelse.{0D},,1 isla(s) 91 inline
22,0xFA1,redirect,0x1008,49,His blood trail definitely leads up\nthe stairs.{0D},,1 isla(s) 91 inline
23,0xFC8,redirect,0x103C,55,This place can obviously withstand\na small explosion.{0D},,1 isla(s) 91 inline
24,0xFFB,redirect,0x1076,58,This is a magnetic floor.  It's kinda\nhard to run on it.{0D},,1 isla(s) 91 inline
25,0x1028,redirect,0x10B3,73,The floor contains magnets that\nkeep the cars grounded in\nmicrogravity.{0D},,1 isla(s) 91 inline
26,0x1069,redirect,0x10FF,40,That's why they stay parked so\nneatly.{0D},,1 isla(s) 91 inline
27,0x1094,redirect,0x112A,63,This place must be able to tolerate\na large amount of weight.{0D},,2 isla(s) 91 inline
28,0x10DB,redirect,0x116F,67,"That's the light above the\nemergency exit.  It says ""EXIT""\non it.{0D}",,2 isla(s) 91 inline
29,0x1106,redirect,0x11B8,38,This must be an emergency\nstairwell.{0D},,
30,0x112D,redirect,0x11DE,45,It's Redwood's blood.  He's\nbleeding again.{0D},,1 isla(s) 91 inline
31,0x1154,redirect,0x120E,32,His blood leads up the stairs.{0D},,
32,0x1171,redirect,0x122E,42,He's trying to play\ncat-and-mouse again.{0D},,1 isla(s) 91 inline
33,0x118E,redirect,0x125B,74,It's Redwood's EMPS.  He's not\ninside it.{80238057}He really has abandoned it.{0D},,2 isla(s) 91 inline
34,0x11F5,redirect,0x12AB,64,I wouldn't think an EMPS should\nbecome inoperable this easily.{0D},,2 isla(s) 91 inline
35,0x1236,redirect,0x12F1,98,I guess he's determined to take\nthis all the way.{80238057}Or maybe he just wants to fight\nman to man.{0D},,2 isla(s) 91 inline
36,0x1269,redirect,0x1359,24,It's a support pillar.{0D},,1 isla(s) 91 inline
37,0x1282,redirect,0x1374,75,"Judging from his blood trail, he\ncouldn't be hiding anywhere\naround here.{0D}",,3 isla(s) 91 inline
38,0x12B3,redirect,0x13C8,38,He might be behind this pillar\nhere.{0D},,
39,0x12E0,redirect,0x13EE,37,I can't tell where he is from here.{0D},,1 isla(s) 91 inline
40,0x1309,redirect,0x1416,25,There's blood here too.{0D},,2 isla(s) 91 inline
41,0x1330,redirect,0x1435,68,These are the emergency stairs. \nLooks like he's escaped up there.{0D},,2 isla(s) 91 inline
42,0x1361,redirect,0x147F,33,They extend upward in a spiral.{0D},,3 isla(s) 91 inline
43,0x1382,redirect,0x14A9,41,"Judging from the sign up there,\nanyway.{0D}",,2 isla(s) 91 inline
44,0x13A1,redirect,0x14D8,48,"This is where I'm supposed to\nfollow you, huh?{0D}",,2 isla(s) 91 inline
45,0x13C0,redirect,0x150E,111,"You're not getting away this time,\nRedwood!{80238057}As long as it takes, you hear me!\nAs long as it fucking takes!{0D}",,3 isla(s) 91 inline
46,0x13F1,redirect,0x1586,46,"We're settling this now, you son of\na bitch.{0D}",,1 isla(s) 91 inline
47,0x1418,redirect,0x15B7,31,I should hurry up the stairs.{0D},,2 isla(s) 91 inline
48,0x1431,redirect,0x15DC,18,Where's he gone?{0D},,
49,0x1444,redirect,0x15EE,37,A spiral staircase? Is he up\nabove?{0D},,1 isla(s) 91 inline
50,0x1461,redirect,0x1616,50,Redwood! He escaped to one of\nthe higher floors.{0D},,1 isla(s) 91 inline
51,0x1492,redirect,0x164B,6,Move{0D},,
52,0x1497,redirect,0x1651,13,Go upstairs{0D},,1 isla(s) 91 inline
53,0x14A2,redirect,0x1661,8,System{0D},,
54,0x14AB,redirect,0x1669,6,Look{0D},,1 isla(s) 91 inline
55,0x14B0,redirect,0x1672,61,It's a spiral staircase.  They've got\na lot of stairs here.{0D},,2 isla(s) 91 inline
56,0x14EF,redirect,0x16B8,28,I don't see him from here.{0D},,
57,0x150A,redirect,0x16D4,46,Dammit! I can't see anything from\ndown here!{0D},,2 isla(s) 91 inline
58,0x1529,redirect,0x1708,22,He escaped up there!{0D},,1 isla(s) 91 inline
59,0x154E,redirect,0x1721,24,He's not here anymore!{0D},,1 isla(s) 91 inline
60,0x1579,redirect,0x173C,21,He's gone upstairs!{0D},,
61,0x159E,redirect,0x1751,27,I need to hurry upstairs!{0D},,1 isla(s) 91 inline
62,0x15BD,redirect,0x176F,39,"Okay, I'll head up to the 30th floor.{0D}",,1 isla(s) 91 inline
63,0x15D8,redirect,0x1799,64,If I went running up there now\nhe'd have a perfect shot at me.{0D},,1 isla(s) 91 inline
64,0x15F9,redirect,0x17DC,53,It wouldn't be a good idea to go up\nthere just yet.{0D},,2 isla(s) 91 inline
65,0x161C,redirect,0x1817,79,He's waiting for me so he can pick\nme off.  I can't just go rushing up\nthere.{0D},,2 isla(s) 91 inline
66,0x1657,redirect,0x186C,2,{0D},,
67,0x166E,redirect,0x186E,2,{0D},,1 isla(s) 91 inline
68,0x1687,redirect,0x1873,2,{0D},,
69,0x16A4,redirect,0x1875,17,Go up to Garden{0D},,
