offset,offset_fin,largo_original,encoding,chunk,texto,ruido_probable,palabra_reconocible,traduccion
0x1C9CC,0x1C9D8,12,ascii,3,Gotcha!,,,
0x24ADC,0x24AE8,12,ascii,5,Nice shot!,,,
0x32960,0x32970,16,ascii,8,Uh-oh....,,,
0x35F1C,0x35F2C,16,ascii,9,Jesus Christ!,,,
0x40B58,0x40B60,8,ascii,12,SCIPPDTS,si,,
0x40B88,0x40B91,9,ascii,12,SCTEGOLD0,,,
0x40BB8,0x40BC1,9,ascii,12,SCIPPDTS0,si,,
0x40BE8,0x40BF1,9,ascii,12,SCIPPDTSD,si,,
0x40C18,0x40C21,9,ascii,12,SCTEGOLDM,,,
0x4F10F,0x4F115,6,ascii,15,!BE3D3,,si,
0x4F119,0x4F11F,6,ascii,15,/bVeVD,,,
0x4F15F,0x4F165,6,ascii,15,DT44C3,,,
0x5D173,0x5D179,6,ascii,19,z ?7W%,,,
0x608C2,0x608C8,6,ascii,20,0Q13aE,,,
0x6EE51,0x6EE57,6,ascii,23,d?uB'B,,,
0x784D4,0x784DA,6,ascii,26,rNxQ|V,,,
0x80B88,0x80B91,9,ascii,29,SCIPPDTSH,si,,
0x80BE8,0x80BF1,9,ascii,29,SCIPPDTSp,si,,
0x80C18,0x80C20,8,ascii,29,SCIPPDTS,si,,
0x80C48,0x80C50,8,ascii,29,SCIPPDTS,si,,
0x8A2E0,0x8A2E7,7,ascii,31,!AV!Bb5,,,
0x8A38C,0x8A3A4,24,ascii,31,Man....  Where'd he go?,,si,
0x93768,0x93780,24,ascii,34,He escaped on foot.,,si,
0x99B20,0x99B2D,13,ascii,36,Can you run?,,si,
0xA40CC,0xA40E7,27,ascii,38,"Yeah, I'm fine.  Let's go!",,,
0xDDEEF,0xDDEF5,6,ascii,53,1n3|Yc,,,
0xEFDA3,0xEFDAA,7,ascii,57,hxCjhSz,,,
0xF6FDC,0xF6FE2,6,ascii,59,3  d10,,,
0x100A68,0x100A70,8,ascii,61,SCIPPDTS,si,,
0x100A98,0x100AA0,8,ascii,61,SCIPPDTS,si,,
0x100AC8,0x100AD0,8,ascii,61,SCIPPDTS,si,,
0x100AF8,0x100B00,8,ascii,61,SCIPPDTS,si,,
0x100B28,0x100B30,8,ascii,61,SCIPPDTS,si,,
0x140A68,0x140A70,8,ascii,76,SCIPPDTS,si,,
0x140A98,0x140AA0,8,ascii,76,SCIPPDTS,si,,
0x140AC8,0x140AD0,8,ascii,76,SCIPPDTS,si,,
0x140AF8,0x140B00,8,ascii,76,SCIPPDTS,si,,
0x140B28,0x140B30,8,ascii,76,SCIPPDTS,si,,
0x180AF8,0x180B01,9,ascii,91,SCIPPDTS4,si,,
