offset,offset_fin,largo_original,encoding,texto,ruido_probable,palabra_reconocible,traduccion
0xC,0x10,4,ascii,-nm,,,
0x10,0x14,4,ascii,-nd,,,
0x14,0x1C,8,ascii,-pilot,,,
0x1C,0x20,4,ascii,-np,,,
0x20,0x28,8,ascii,-dmr,,,
0x28,0x30,8,ascii,-debug,,,
0x30,0x38,8,ascii,-sample,,,
0x38,0x44,12,ascii,LAUNCH!!,,,
0x58,0x5F,7,ascii,prev:%d,,,
0x9C,0xA4,8,ascii,FATAL:,,,
0xA4,0xD2,46,ascii,"sorry, assertion failed at file ""%s"", line %d.",,si,
0xD4,0xE0,12,ascii,WARNING:,,,
0x10C,0x119,13,ascii,CARDINF:%08lx,si,,
0x11C,0x12F,19,ascii,PLAY-TIME:%d(%d-%d),si,,
0x134,0x142,14,ascii,MENULISTCNT:%d,si,,
0x144,0x14C,8,ascii,EXIST:%d,si,,
0x150,0x164,20,ascii,PROLOGUE%03d:%02d,si,,
0x16C,0x17D,17,ascii,ERR:NVRAM FILEMAP,,,
0x180,0x18A,10,ascii,noEXIST:%d,si,,
0x18C,0x19C,16,ascii, ------------,si,,
0x1C8,0x1D3,11,ascii,SCENE:%08lx,si,,
0x220,0x22C,12,ascii,mv%06lx.mov,si,,
0x22C,0x238,12,ascii,projector,,,
0x244,0x24C,8,ascii,ED:%08lx,,,
0x260,0x268,8,ascii,ERROR!!,si,,
0x278,0x285,13,ascii,READERRCNT:%d,si,,
0x2A8,0x2C4,28,ascii,BGM:%08lx SE:%08lx SE0:%08lx,,,
0x33C,0x348,12,ascii,SUSPEND:,,,
0x348,0x34B,3,ascii,END,,,
0x36C,0x37A,14,ascii,Already set to,,si,
0x37C,0x387,11,ascii,NOT EXIST 0,si,si,
0x38C,0x398,12,ascii,STARTMODE:%d,si,,
0x39C,0x3A8,12,ascii,NO SAVE P!!,,si,
0x3D0,0x3DC,12,ascii,ERROR1!!,si,,
0x3DC,0x3E8,12,ascii,ERROR2!!,si,,
0x3E8,0x3F4,12,ascii,ERROR3!!,si,,
