offset,offset_fin,largo_original,encoding,texto,ruido_probable,palabra_reconocible,traduccion
0x0,0x10,16,ascii,OPMENU-LAUNCH!!,si,,
0x10,0x1C,12,ascii,select.pak,si,,
0x1C,0x25,9,ascii,SELECT:%d,,,
0x28,0x34,12,ascii,ATTR:%04x,,,
0x34,0x3C,8,ascii,%02x:,,,
0x40,0x4D,13,ascii,CARDINF:%08lx,si,,
0x50,0x58,8,ascii,TELOP ON,,si,
0x5C,0x65,9,ascii,TELOP OFF,,,
0x68,0x6F,7,ascii,RUBI ON,,si,
0x74,0x7C,8,ascii,RUBI OFF,,,
0x80,0x8A,10,ascii,GOTHIC(ON),,si,
0x8C,0x97,11,ascii,MINCHO(OFF),si,,
0x9C,0xA0,4,ascii,SLOW,,,1
0xB4,0xBA,6,ascii,NORMAL,,,2
0xCC,0xD0,4,ascii,FAST,,,3
0xD4,0xDB,7,ascii,LINES:2,,,
0xE0,0xE7,7,ascii,LINES:3,,,
0xEC,0xF1,5,ascii,RIGHT,,,
0xF4,0xF8,4,ascii,LEFT,,,
0xFC,0x102,6,ascii,SINGLE,,,
0x134,0x144,16,ascii, 00:00 ACT 4   ,si,, 00:00 ACTO 4  
0x144,0x154,16,ascii, 00:00 ACT 3   ,si,, 00:00 ACTO 3  
0x154,0x164,16,ascii, 00:00 ACT 2   ,si,, 00:00 ACTO 2  
0x164,0x174,16,ascii, 00:00 ACT 1   ,si,, 00:00 ACTO 1  
0x174,0x184,16,ascii,READERR CNT:%d,,,
0x184,0x18D,9,ascii,DEF:%08lx,,,
0x190,0x199,9,ascii,COLECT:%d,,,
0x19C,0x1AC,16,ascii,DINF:%d(%d:%d)%d,si,,
0x1B0,0x1B8,8,ascii,AD:%08lx,,,
0x1BC,0x1D0,20,ascii,PROLOGUE%03d:%02d,si,,
0x1D0,0x1DB,11,ascii,EMPTY FILES,,,
0x1E0,0x1E8,8,ascii,%s:%s:%s,,,
0x1EC,0x1FC,16,ascii,LOAD:AUTOSAVE,si,,
0x1FC,0x208,12,ascii,LOAD:SAVE%d,si,,
0x21C,0x230,20,ascii,SET-CURCARDINF:%08lx,si,,
0x238,0x249,17,ascii,OLD CARDINF:%08lx,,,
0x24C,0x25A,14,ascii,OLD CARD NO:%d,,si,
0x25C,0x273,23,ascii,OLD CARD CHECK ST:%08lx,si,,
0x278,0x28C,20,ascii,CARD CHECK NEED NOT.,si,si,
0x2A8,0x2BE,22,ascii,CARD:%d CHECK ST:%08lx,si,,
0x2C0,0x2CB,11,ascii, --- NORMAL,,,
0x2D0,0x2DE,14,ascii, --- NOT EXIST,,si,
0x2E0,0x2ED,13,ascii, --- UNFORMAT,,,
0x2F0,0x2FA,10,ascii, --- ERROR,,,
0x320,0x332,18,ascii,THERE ARE NO CARDS,,si,NO HAY MEM CARDS
0x334,0x345,17,ascii,THERE ARE 2 CARDS,,si,HAY 2 MEM CARDS
0x348,0x350,8,ascii,REPLY:%d,,,
0x354,0x365,17,ascii,ONLY CARD-1 FOUND,si,si,SOLO MEM CARD 1
0x368,0x379,17,ascii,ONLY CARD-2 FOUND,si,si,SOLO MEM CARD 2
0x37C,0x399,29,ascii,"CARD FOUND BUT ERROR, NO CARD",si,si,"MEM ENCONTRADA PERO ERROR"
0x3E0,0x3EB,11,ascii,FILE:%d(%s),si,,
0x3F0,0x3F5,5,ascii,%d:%d,,,
0x3F8,0x408,16,ascii,BISLPS-00215,si,,
0x408,0x414,12,ascii,USER-FILE:%d,si,,
0x418,0x420,8,ascii,BS:%08lx,,,
0x424,0x42C,8,ascii,H:%d,,,
0x42C,0x434,8,ascii,M:%d,,,
0x434,0x43C,8,ascii,L:%d,,,
0x43C,0x44A,14,ascii,SYSTEM-FILE:%d,si,,
0x44C,0x458,12,ascii,V:(%s)%d,,,
0x458,0x469,17,ascii,oldAUTOSAVELOC:%d,si,,
0x46C,0x47A,14,ascii,AUTOSAVELOC:%d,si,,
0x47C,0x488,12,ascii,NEWINF:%08lx,si,,
0x4C4,0x4D8,20,ascii,SAVECNT:%d(%d+%d-%d),si,,
0x4DC,0x4EC,16,ascii,%s%c%c%05d%c,si,,
0x4EC,0x500,20,ascii,%s%c%c%03d%02d%c,si,,
0x50C,0x51C,16,ascii,AUTOSAVE WAIT,si,,GUARDANDO
0x51C,0x52E,18,ascii,CURDISC:%d(LOC:%d),si,,
0x530,0x53A,10,ascii,SAVELOC:%d,si,,
0x560,0x56F,15,ascii,AUTOSAVE:%d(%d),si,,
0x58C,0x598,12,ascii,"FOUND,ERASE",si,,
0x598,0x5A4,12,ascii,"SVER,delete",si,,
0x5A4,0x5BC,24,ascii,SAVE:%s(CD:%d CHKCD:%d),,,
0x5E0,0x5F1,17,ascii,"FOUND,LOAD(CD:%d)",si,,
0x5F4,0x614,32,ascii,"FOUND,LOAD(H:%d M:%d L:%d CD:%d)",si,,
0x62C,0x644,24,ascii,LOAD-OK:FIRST BLOCK USE,si,si,
0x644,0x65F,27,ascii,FIRST BLOCK is Broken.(CRC),si,si,
0x664,0x67F,27,ascii,FIRST BLOCK is Broken.(H&T),si,si,
0x684,0x6A0,28,ascii,LOAD-OK:SECOND BLOCK USE,,si,
0x6A0,0x6BC,28,ascii,SECOND BLOCK is Broken.(H&T),,si,
0x6C0,0x6D1,17,ascii,LOADAUTOSAELOC:%d,si,,
0x80B,0x810,5,ascii,4!(,,,
0x85F,0x863,4,ascii,42e,si,,
0x8D7,0x8DB,4,ascii,42e,si,,
0x8E3,0x8E8,5,ascii,4!(,,,
0xAA3,0xAA8,5,ascii,4!(,,,
0xB28,0xB2B,3,ascii,!0 ,,,
0xB6B,0xB6F,4,ascii,4}f,,,
0xB70,0xB73,3,ascii,!  ,,,
0xBE6,0xBEA,4,ascii,B0G,,,
0xBEF,0xBF4,5,ascii,4!(,,,
0xC3B,0xC40,5,ascii,4!(,,,
0xC7B,0xC80,5,ascii,4!(,,,
0xCDF,0xCE4,5,ascii,4!(,,,
0xD07,0xD0C,5,ascii,4!(,,,
0xE0A,0xE0D,3,ascii,"b,c",,,
0x1500,0x1504,4,ascii,! p,,,
